class_id,glcm_contrast,glcm_dissimilarity,glcm_homogeneity,glcm_energy,glcm_correlation,glcm_entropy,fractal_dim,foreground_ratio,sym_lr,sym_tb,sym_axis_shift,sym_axis_corr,sym_bilateral_texture_corr,color_h_bin0,color_h_bin1,color_h_bin2,color_h_bin3,color_h_bin4,color_h_bin5,color_h_bin6,color_h_bin7,color_h_mean,color_h_std,color_s_bin0,color_s_bin1,color_s_bin2,color_s_bin3,color_s_bin4,color_s_bin5,color_s_bin6,color_s_bin7,color_s_mean,color_s_std,color_v_bin0,color_v_bin1,color_v_bin2,color_v_bin3,color_v_bin4,color_v_bin5,color_v_bin6,color_v_bin7,color_v_mean,color_v_std,shape_area,shape_perimeter,shape_circularity,shape_aspect_ratio,shape_solidity,shape_extent,cub_name,scientific_name,Sequence,Species1,Family1,Order1,Avibase.ID1,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size
1,3.8820496827528097,0.840119545792881,0.7275392987144866,0.039343297458764095,0.9614630671773204,4.3263466348802835,1.8140301873905809,0.5863250732421875,0.2077616664064818,0.2204579794099421,-4.2,0.2000525583300134,0.9747649219259225,0.353900146484375,0.0487335205078125,0.02650146484375,0.485736083984375,0.02943115234375,0.0556976318359375,0.0,0.0,75.99417419433594,35.26942217692647,0.5322418212890625,0.211993408203125,0.062744140625,0.092315673828125,0.057550048828125,0.016534423828125,0.007574462890625,0.0190460205078125,51.770730590820314,36.70592718188732,0.0209869384765625,0.08280029296875,0.094903564453125,0.106060791015625,0.140863037109375,0.1931793212890625,0.131890869140625,0.229315185546875,160.203125,59.91365175459822,36824.0,1638.899209833145,0.2758686246665555,1.0882784346846848,0.7181522503196425,0.6480230584883354,Black_footed_Albatross,Phoebastria nigripes,2025.0,Phoebastria nigripes,Diomedeidae,Procellariiformes,AVIBASE-EE8ECB1D,5.0,3.0,2.0,0.0,4.0,101.2,67.8,23.8,30.8,87.4,476.0,313.2,171.2,64.7,136.0,3188.41,Dunning,,NO,,,Marine,3.0,2.0,Carnivore,Aquatic predator,Aquatic,-84.95,85.01,14.59,-17.36,84626560.97
2,4.927832700591479,0.8673068366251471,0.7438275817143017,0.06067934572093882,0.941544833285325,4.19202271026691,1.7554428198824419,0.489129638671875,0.18788012600988305,0.10126579995607259,-12.8,0.1603707100109141,0.9913133969080077,0.256982421875,0.1405364990234375,0.0612884521484375,0.4693450927734375,0.0472503662109375,0.02459716796875,0.0,0.0,75.48648986816406,41.74461271256931,0.622906494140625,0.1607421875,0.14398193359375,0.0504669189453125,0.0153106689453125,0.004022216796875,0.0015472412109375,0.0010223388671875,36.637265014648435,25.82845307279741,0.03621826171875,0.092822265625,0.1380889892578125,0.1722442626953125,0.188568115234375,0.08250732421875,0.2430999755859375,0.0464508056640625,138.30970153808593,54.15676241980068,32452.6,1748.3059334993363,0.14742698594565137,1.1057290603075438,0.6716927780567739,0.5382902726218356,Laysan_Albatross,Phoebastria immutabilis,2026.0,Phoebastria immutabilis,Diomedeidae,Procellariiformes,AVIBASE-98FB6D4B,5.0,2.0,3.0,0.0,2.0,108.0,74.6,20.7,28.2,82.6,474.4,313.0,159.5,66.2,147.2,3145.93,Dunning,,NO,,,Marine,3.0,2.0,Carnivore,Aquatic predator,Aquatic,12.81,65.2,35.54,-24.85,45350856.11
3,4.3150756787793325,0.8340707007575544,0.749857029588596,0.08470014353575203,0.9239598056770075,4.069289608668725,1.816625922028917,0.6039520263671875,0.2062472098185019,-0.0008889105111588802,-6.4,0.20562589157815808,0.9755182497377284,0.09588623046875,0.0882110595703125,0.0873748779296875,0.7106414794921875,0.006854248046875,0.0110321044921875,0.0,0.0,90.47999267578125,30.61037995449405,0.097528076171875,0.403875732421875,0.237310791015625,0.10504150390625,0.07962646484375,0.0483001708984375,0.0152435302734375,0.01307373046875,79.47259521484375,37.250519724141625,0.03193359375,0.0593017578125,0.055548095703125,0.090216064453125,0.1295654296875,0.1922088623046875,0.3728973388671875,0.068328857421875,162.28805236816407,50.67647501177369,34708.5,1849.1447066307069,0.2238220580988428,0.80234375,0.7080530325665422,0.6375199734779893,Sooty_Albatross,Phoebetria fusca,2022.0,Phoebetria fusca,Diomedeidae,Procellariiformes,AVIBASE-4976BF1D,4.0,1.0,3.0,0.0,4.0,108.9,71.4,17.6,29.8,76.2,510.2,348.5,161.8,68.3,268.8,2553.66,Dunning,,NO,,,Marine,3.0,2.0,Carnivore,Aquatic predator,Aquatic,-74.01,-20.45,-45.67,34.43,61330907.01
4,7.102540196443836,1.2302861404251035,0.6768589578180527,0.03725606989505946,0.9476882750020634,4.676451405821983,1.7936573393933455,0.5134918212890625,0.0028531238638240253,-0.03454426600944956,8.4,0.006361295590393837,0.9568267304636684,0.21962890625,0.311358642578125,0.0437591552734375,0.3353546142578125,0.0664520263671875,0.0234466552734375,0.0,0.0,70.92597961425781,30.73172191261495,0.148309326171875,0.1929931640625,0.273834228515625,0.142401123046875,0.1670013427734375,0.039813232421875,0.01483154296875,0.0208160400390625,87.46181640625,41.0309151493098,0.1372314453125,0.0967864990234375,0.0920196533203125,0.106109619140625,0.1106414794921875,0.1066314697265625,0.1788604736328125,0.1717193603515625,139.52435913085938,74.8483571385726,17448.7,1272.2281422376632,0.1607052773432783,0.8302235137839666,0.6813819535922899,0.45234150237056986,Groove_billed_Ani,Crotophaga sulcirostris,1573.0,Crotophaga sulcirostris,Cuculidae,Cuculiformes,AVIBASE-C5B34740,15.0,5.0,4.0,6.0,4.0,26.9,17.7,9.5,16.5,33.8,129.3,24.8,103.0,19.3,162.7,82.04,Dunning,,NO,,,Human Modified,3.0,1.0,Carnivore,Invertivore,Terrestrial,-23.6,30.19,12.58,-85.96,2696933.46
5,3.5983936071361198,0.7572585418849636,0.7550450681217085,0.02502451903947836,0.9691369210452914,4.472991529272197,1.7221554768188863,0.400238037109375,0.3228832917943584,0.2266900891184393,-12.8,0.2698703836047564,0.9627472732142545,0.2600860595703125,0.062957763671875,0.0115264892578125,0.4660186767578125,0.131475830078125,0.0679351806640625,0.0,0.0,88.54892578125,49.25848901424139,0.4323577880859375,0.3808990478515625,0.126141357421875,0.036920166015625,0.009625244140625,0.0064453125,0.0063385009765625,0.0012725830078125,43.574615478515625,29.509921403834557,0.016400146484375,0.121783447265625,0.180560302734375,0.2028411865234375,0.1390655517578125,0.0827056884765625,0.0851409912109375,0.171502685546875,136.96563110351562,63.79494047032339,15014.3,871.3314377307892,0.2946946229980094,0.8239477146326635,0.706527553387099,0.46750759360521954,Crested_Auklet,Aethia cristatella,2693.0,Aethia cristatella,Alcidae,Charadriiformes,AVIBASE-3DC4EBB8,5.0,2.0,3.0,0.0,4.0,21.1,7.1,6.1,10.9,27.4,139.4,61.0,77.2,44.1,38.0,259.36,Dunning,,NO,,,Marine,3.0,3.0,Carnivore,Aquatic predator,Aquatic,46.33,66.24,55.91,31.33,479141.29
6,8.239611102443089,1.2741175001518381,0.6866625039084511,0.029900372958054266,0.920198586758462,4.737860033117089,1.7638711601534554,0.4583099365234375,0.16098249377841886,0.21164520127475145,0.0,0.11009495454364751,0.9525568533915985,0.2444610595703125,0.067974853515625,0.0489837646484375,0.388262939453125,0.2006805419921875,0.0496368408203125,0.0,0.0,88.9665740966797,45.05423277159845,0.5737548828125,0.2465240478515625,0.0957427978515625,0.025811767578125,0.0159271240234375,0.017462158203125,0.012249755859375,0.0125274658203125,40.76999206542969,33.05671986143101,0.0737457275390625,0.140997314453125,0.1268280029296875,0.14669189453125,0.141229248046875,0.1889068603515625,0.112286376953125,0.0693145751953125,127.61026611328126,58.96016428909329,33797.1,1381.5369733810426,0.2907584597532047,0.9613613415073928,0.7173025261387089,0.5978263011738087,Least_Auklet,Aethia pusilla,2691.0,Aethia pusilla,Alcidae,Charadriiformes,AVIBASE-044509DA,5.0,2.0,3.0,0.0,4.0,15.0,5.7,5.0,6.4,19.0,94.4,37.7,55.6,40.4,27.0,83.99,Dunning,,NO,,,Marine,3.0,3.0,Carnivore,Aquatic predator,Aquatic,47.78,66.43,56.93,-4.91,65157.07
7,5.193116290052403,1.0066681084257512,0.7104014313671067,0.034490058591768846,0.9448201642300276,4.574075568059252,1.6894181076366643,0.38416748046875,0.10582452423016553,0.22123017618065602,0.0,0.015421874103335967,0.8936920996322065,0.4630096435546875,0.0686614990234375,0.007464599609375,0.257586669921875,0.108404541015625,0.094873046875,0.0,0.0,71.28697814941407,55.884227158918726,0.4728668212890625,0.3667938232421875,0.1072662353515625,0.0362274169921875,0.010247802734375,0.0040252685546875,0.001483154296875,0.0010894775390625,38.179833984375,29.833637027148608,0.1362457275390625,0.1535797119140625,0.1686187744140625,0.130755615234375,0.0886566162109375,0.1842041015625,0.0980499267578125,0.0398895263671875,112.68362121582031,60.0197345423148,25196.4,1337.3942450761795,0.1854102450990167,1.0154247628170041,0.680413919193498,0.5070253921360172,Parakeet_Auklet,Aethia psittacula,2690.0,Aethia psittacula,Alcidae,Charadriiformes,AVIBASE-2B46719D,4.0,2.0,2.0,0.0,4.0,20.1,8.8,6.2,12.6,29.4,146.2,60.2,86.1,41.1,39.0,269.98,Dunning,,NO,,,Marine,3.0,3.0,Carnivore,Aquatic predator,Aquatic,46.63,66.76,56.09,-57.81,400570.42
8,6.695413920831669,1.2933539665690172,0.6230910257289404,0.011885020231171078,0.9406414816483633,5.069398309434214,1.7590994647834446,0.4695220947265625,0.22637517361181492,0.11738441139545115,-14.8,0.20427204273109073,0.9723701070248785,0.323468017578125,0.048126220703125,0.04031982421875,0.5158843994140625,0.045330810546875,0.0268707275390625,0.0,0.0,75.34873657226562,45.41010780895317,0.3730712890625,0.1961456298828125,0.16953125,0.1265380859375,0.0719207763671875,0.03515625,0.0136810302734375,0.0139556884765625,64.1268798828125,43.57552177857108,0.0723175048828125,0.107415771484375,0.1252197265625,0.1297454833984375,0.1341766357421875,0.1409454345703125,0.160601806640625,0.12957763671875,139.35335388183594,66.81935315056447,20822.0,1663.6569862604142,0.09753096900322511,0.9823507780926889,0.6126200413421283,0.5207251881422525,Rhinoceros_Auklet,Cerorhinca monocerata,2685.0,Cerorhinca monocerata,Alcidae,Charadriiformes,AVIBASE-53D94597,4.0,2.0,2.0,0.0,4.0,48.5,25.5,8.5,17.6,29.4,178.8,92.9,85.8,52.0,51.2,482.24,Dunning,,NO,,,Marine,3.0,3.0,Carnivore,Aquatic predator,Aquatic,33.18,60.51,50.73,-51.05,316387.33
9,5.677263675582265,1.0416282897680744,0.7053771609963493,0.024693618140396764,0.9483098848375592,4.627199030836357,1.7968878934855244,0.5323638916015625,0.24514141723222754,0.2776809707514565,0.0,0.2233657500420963,0.970755388368184,0.238763427734375,0.0873382568359375,0.094927978515625,0.526123046875,0.041412353515625,0.0114349365234375,0.0,0.0,78.89772033691406,39.64814735588294,0.3755767822265625,0.25433349609375,0.10457763671875,0.096124267578125,0.1227386474609375,0.0315521240234375,0.0086181640625,0.0064788818359375,61.799993896484374,36.76836187412205,0.1090057373046875,0.1220001220703125,0.0863311767578125,0.0938079833984375,0.1368560791015625,0.195819091796875,0.123663330078125,0.1325164794921875,136.75091552734375,68.93558015073242,34386.7,1693.3457174539567,0.16691612931673402,1.1038888888888887,0.6889710925306642,0.5933211686039648,Brewer_Blackbird,Euphagus cyanocephalus,10534.0,Euphagus cyanocephalus,Icteridae,Passeriformes,AVIBASE-EA5E858A,5.0,2.0,3.0,0.0,4.0,22.6,14.4,5.8,7.5,31.0,126.4,39.1,86.2,31.2,100.6,62.48,Dunning,,NO,,,Human Modified,3.0,2.0,Carnivore,Omnivore,Terrestrial,30.05,62.06,46.92,-110.63,5280448.27
10,8.02525985421501,1.1714205163439373,0.7282803248951002,0.05110777330804622,0.9532047638541943,4.305503318608591,1.7845536703627531,0.5008148193359375,0.11932879119698217,0.1897514018550607,0.0,0.08603911838914466,0.9933232585946582,0.4334747314453125,0.098907470703125,0.0479949951171875,0.3889190673828125,0.0250732421875,0.0056304931640625,0.0,0.0,60.767825317382815,31.102177504586514,0.1797393798828125,0.1756591796875,0.275897216796875,0.200140380859375,0.0705352783203125,0.03367919921875,0.02314453125,0.041204833984375,85.89837951660157,50.284913947278305,0.228350830078125,0.1042449951171875,0.0773101806640625,0.05548095703125,0.0515960693359375,0.2209869384765625,0.106658935546875,0.15537109375,128.08814086914063,82.2288392614669,21431.7,1600.2387317895889,0.12071980741006652,0.8340023047818672,0.644922357181527,0.49961874773198733,Red_winged_Blackbird,Agelaius phoeniceus,10522.0,Agelaius phoeniceus,Icteridae,Passeriformes,AVIBASE-C86D078E,7.0,2.0,5.0,0.0,6.0,22.7,15.4,5.6,8.8,28.0,118.0,27.8,88.9,24.0,88.9,50.78,Dunning,,NO,,,Wetland,3.0,3.0,Herbivore,Granivore,Generalist,9.66,67.41,44.62,-102.04,13703226.95
